,R_fighter,B_fighter,date,Winner,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,B_Country,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_Country,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan
590,Kamaru Usman,Colby Covington,12/14/2019,2,1341.679688,33,1,3,0,7,10,1,0,0,0,6,2,2,0,180.34,182.88,170,0,1,0,1,0,0,0,USA,1,0,0,0,0,0,0,Nigeria,1401.107422,33,2,10,0,10,10,0,0,0,0,8,1,1,0,182.88,193.04,170,31,32,1,0,0,0,1,0,0,0
594,Matt Brown,Ben Saunders,12/14/2019,2,324.0712433,35,0,3,0,3,9,9,0,0,1,2,3,3,0,187.96,195.58,170,0,0,0,0,1,0,0,USA,1,0,0,0,0,0,0,USA,376.6284025,54,0,1,0,7,14,10,0,0,0,2,10,2,0,182.88,190.5,170,36,38,0,1,0,0,1,0,0,0
604,Thiago Alves,Tim Means,12/7/2019,0,373.6098557,42,0,2,0,4,10,9,0,0,1,3,5,1,0,187.96,190.5,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,873.6552618,64,1,0,1,7,15,11,0,0,1,5,7,1,1,175.26,177.8,170,35,36,1,0,0,0,1,0,0,0
610,Sergio Moraes,James Krause,11/16/2019,0,644.9160156,23,0,1,0,5,7,3,0,0,0,3,2,2,0,187.96,185.42,170,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,Brazil,813.1865234,34,1,0,1,4,8,5,0,0,2,2,1,3,0,182.88,182.88,170,33,37,1,0,0,0,1,0,0,0
617,Warlley Alves,Randy Brown,11/16/2019,0,680.2421875,21,0,1,0,2,5,3,0,0,0,2,2,1,0,190.5,198.12,170,1,0,0,0,0,0,0,Jamaica,0,1,0,0,0,0,0,Brazil,717.7402344,25,1,4,0,4,7,3,0,0,0,2,1,3,1,180.34,182.88,170,29,28,1,0,0,0,0,1,0,0
624,Zelim Imadaev,Danny Roberts,11/9/2019,0,384.8046875,18,0,2,0,2,5,4,0,0,1,1,2,1,0,185.42,187.96,170,0,0,0,0,0,1,0,england ,0,0,0,0,0,1,0,Russia,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,193.04,170,32,24,1,0,0,0,0,1,0,0
625,Rustam Khabilov,Sergey Khandozhko,11/9/2019,2,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,187.96,170,0,0,0,0,0,1,0,Russia,0,0,0,0,0,1,0,Russia,899.409668,33,0,3,0,6,9,3,0,0,1,6,1,0,1,172.72,185.42,155,27,33,1,0,0,0,1,0,0,0
627,Ramazan Emeev,Anthony Rocco Martin,11/9/2019,0,856.2963867,35,0,0,2,4,8,5,0,0,0,4,1,3,0,182.88,185.42,170,0,1,0,0,0,0,1,USA,0,1,0,0,0,0,0,Russia,900,9,0,3,0,3,3,0,0,0,0,3,0,0,0,177.8,193.04,170,29,32,1,0,0,0,1,0,0,0
636,Stephen Thompson,Vicente Luque,11/2/2019,2,659.293457,22,0,0,1,6,10,2,0,0,1,0,6,3,0,180.34,190.5,170,1,0,0,0,0,0,0,Brazil,0,0,0,0,1,0,0,USA,954.2867432,40,2,1,0,7,9,5,0,0,0,4,5,0,0,182.88,190.5,170,27,36,1,0,0,0,1,0,0,0
637,Jorge Masvidal,Nate Diaz,11/2/2019,2,993.2878923,60,2,5,0,5,15,9,0,0,1,3,2,9,0,182.88,193.04,170,1,1,0,0,0,0,0,USA,1,0,0,1,0,0,0,USA,322.1848602,44,0,2,0,3,11,6,0,0,0,5,5,1,0,180.34,187.96,170,34,34,1,0,0,0,1,0,0,0
646,Lyman Good,Chance Rencountre,11/2/2019,2,711.25,7,0,0,1,2,2,1,0,0,0,1,0,1,0,187.96,190.5,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,279.125,7,0,1,0,1,2,2,0,0,0,0,2,0,0,182.88,187.96,170,32,34,0,1,0,0,0,1,0,0
652,Muslim Salikhov,Laureano Staropoli,10/26/2019,2,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,185.42,180.34,170,1,0,0,0,0,0,0,Argentina,1,0,0,0,0,0,0,Russia,396.5,5,0,0,1,2,2,1,0,0,0,0,2,0,0,180.34,177.8,170,26,35,1,0,0,0,1,0,0,0
653,Demian Maia,Ben Askren,10/26/2019,2,102.5,2,0,1,0,1,1,1,0,0,0,0,0,1,0,180.34,185.42,170,0,0,0,1,0,0,0,USA,0,1,0,0,0,0,0,Brazil,801.8741637,82,2,5,0,7,21,9,0,1,1,8,1,10,0,185.42,182.88,170,35,41,1,0,0,0,1,0,0,0
678,Niko Price,James Vick,10/12/2019,2,398.6157227,26,0,5,0,5,9,4,0,0,0,4,2,3,0,190.5,193.04,155,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,USA,360.7421875,14,0,1,0,2,5,4,0,0,0,0,3,2,0,182.88,193.04,170,32,30,1,0,0,0,1,0,0,0
679,Max Griffin,Alex Morono,10/12/2019,0,504.3125,19,0,2,0,2,5,3,0,0,1,2,1,1,0,180.34,182.88,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,884.25,19,0,0,1,1,3,4,0,1,0,1,1,0,0,180.34,193.04,170,29,33,1,0,0,0,1,0,0,0
687,Jake Matthews,Rostem Akman,10/5/2019,2,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,182.88,170,0,0,0,0,0,1,0,sweden,0,0,0,0,0,1,0,Australia,592.2285156,25,0,2,0,3,7,4,0,0,1,1,0,4,1,180.34,185.42,170,27,25,1,0,0,0,1,0,0,0
692,Luke Jumeau,Dhiego Lima,10/5/2019,0,620.5703125,15,2,0,1,2,3,5,0,0,1,1,1,0,0,187.96,190.5,170,1,0,0,0,0,0,0,Brazil,1,0,0,0,0,0,0,New Zealand,900,9,0,1,0,1,2,1,0,0,0,2,0,0,0,180.34,182.88,170,30,31,1,0,0,0,1,0,0,0
699,Nicolas Dalby,Alex Oliveira,9/28/2019,2,661.4334106,33,0,0,1,3,9,6,0,0,0,2,4,3,0,180.34,193.04,170,1,0,0,0,0,0,0,Brazil,0,0,0,0,0,1,0,Denmark,900,12,0,1,0,1,1,3,0,0,1,0,0,0,0,180.34,187.96,170,31,34,0,1,0,0,0,1,0,0
700,Gunnar Nelson,Gilbert Burns,9/28/2019,0,742.3833008,27,0,3,0,3,9,3,0,0,0,3,2,4,0,177.8,180.34,170,1,0,0,0,0,0,0,Brazil,0,1,0,0,0,0,0,Iceland,659.8369141,26,0,4,0,4,8,4,0,0,0,1,0,7,0,180.34,182.88,170,33,31,1,0,0,0,0,1,0,0
704,Siyar Bahadurzada,Ismail Naurdiev,9/28/2019,0,900,6,0,1,0,1,1,1,0,0,0,1,0,0,0,177.8,187.96,170,1,0,0,0,0,0,0,Austria,1,0,0,0,0,0,0,Afghanistan,722.28125,17,0,1,0,3,4,3,0,0,0,0,3,1,0,180.34,185.42,170,23,35,1,0,0,0,1,0,0,0
743,Belal Muhammad,Takashi Sato,9/7/2019,2,378,2,0,1,0,1,1,0,0,0,0,0,1,0,0,177.8,185.42,170,1,0,0,0,0,0,0,Japan,1,0,0,0,0,0,0,Palestine,893.4257813,25,0,0,1,4,6,3,0,0,1,4,1,0,0,180.34,182.88,170,29,31,0,1,0,0,1,0,0,0
745,Nordine Taleb,Muslim Salikhov,9/7/2019,0,527,4,0,0,1,1,1,1,0,0,0,0,1,0,0,180.34,177.8,170,1,0,0,0,0,0,0,Russia,1,0,0,0,0,0,0,canada,660.9960938,26,0,3,0,3,7,4,0,0,1,4,2,0,0,185.42,187.96,170,35,38,1,0,0,0,1,0,0,0
748,Li Jingliang,Elizeu Zaleski dos Santos,8/31/2019,2,311.5859375,19,0,0,1,7,7,1,0,0,1,2,3,1,0,180.34,185.42,170,1,0,0,0,0,0,0,Brazil,1,0,0,0,0,0,0,China,815.4277344,26,0,1,0,4,8,3,0,0,1,2,5,0,0,182.88,180.34,170,32,31,1,0,0,0,1,0,0,0
752,Song Kenan,Derrick Krantz,8/31/2019,2,232,1,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,182.88,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,China,600,6,0,2,0,2,2,1,0,0,0,0,2,0,0,182.88,180.34,170,31,29,1,0,0,0,1,0,0,0
758,Anthony Pettis,Nate Diaz,8/17/2019,0,1086.575785,57,2,5,0,5,14,9,0,0,1,2,2,9,0,182.88,193.04,170,1,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,591.6576538,40,4,0,1,5,9,7,0,0,1,1,3,4,0,177.8,182.88,155,34,32,1,0,0,0,1,0,0,0
770,Vicente Luque,Mike Perry,8/10/2019,2,728.1210938,23,0,2,0,2,6,4,0,0,1,1,4,0,0,177.8,180.34,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,418.5869141,19,0,0,1,5,9,2,0,0,0,0,6,3,0,180.34,190.5,170,27,27,1,0,0,0,1,0,0,0
771,Gilbert Burns,Aleksei Kunchenko,8/10/2019,2,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,172.72,177.8,170,1,0,0,0,0,0,0,Russia,1,0,0,0,0,0,0,Brazil,584.7666016,24,0,3,0,3,8,3,0,0,0,2,2,4,0,177.8,180.34,170,35,33,1,0,0,0,1,0,0,0
786,Colby Covington,Robbie Lawler,8/3/2019,2,683.4785404,58,5,3,0,5,13,7,0,0,3,4,6,0,0,180.34,187.96,170,1,0,0,0,0,0,0,USA,0,1,0,1,0,0,0,USA,1183.359375,28,1,3,0,6,9,1,0,0,0,5,2,2,0,180.34,182.88,170,37,31,1,0,0,0,1,0,0,0
793,Mickey Gall,Salim Touahri,8/3/2019,2,900,6,0,0,2,0,0,2,0,0,0,0,0,0,0,177.8,182.88,170,1,0,0,0,0,0,0,poland,0,1,0,0,0,0,0,USA,436.84375,10,0,3,0,3,4,2,0,0,0,0,0,4,0,187.96,187.96,170,29,27,0,1,0,0,1,0,0,0
795,Geoff Neal,Niko Price,7/27/2019,2,262.484375,12,0,1,0,2,5,3,0,0,0,0,3,2,0,182.88,193.04,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,587.75,6,0,3,0,3,3,0,0,0,0,1,1,1,0,180.34,190.5,170,29,28,1,0,0,0,0,1,0,0
804,Erik Koch,Kyle Stewart,7/27/2019,2,145,1,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,193.04,170,0,0,0,0,0,1,0,USA,1,0,0,0,0,0,0,USA,772.140625,19,0,2,0,2,4,5,0,0,0,1,2,1,0,177.8,180.34,170,30,30,1,0,0,0,1,0,0,0
806,Rafael Dos Anjos,Leon Edwards,7/20/2019,0,1047.144531,33,0,0,1,7,9,2,0,0,1,5,2,1,0,187.96,187.96,170,1,0,0,0,0,0,0,england ,0,1,0,0,0,0,0,Brazil,1255.635436,78,4,0,2,5,18,9,0,0,0,10,4,4,0,172.72,177.8,155,27,34,1,0,0,0,0,1,0,0
830,Jorge Masvidal,Ben Askren,7/6/2019,2,200,1,0,1,0,1,1,0,0,0,0,0,0,1,0,180.34,185.42,170,0,0,0,1,0,0,0,USA,1,0,0,1,0,0,0,USA,639.3697205,43,0,2,0,3,10,6,0,0,0,5,4,1,0,180.34,187.96,170,34,34,1,0,0,0,1,0,0,0
833,Diego Sanchez,Michael Chiesa,7/6/2019,0,361.9189453,24,1,2,0,3,8,4,0,0,0,2,0,6,0,185.42,190.5,170,0,0,0,1,0,0,0,USA,0,0,0,1,0,0,0,USA,579.15934,75,2,6,0,6,18,11,0,0,3,9,6,0,0,177.8,182.88,170,31,37,1,0,0,0,1,0,0,0
840,Ismail Naurdiev,Chance Rencountre,7/6/2019,0,522.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,187.96,190.5,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Austria,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,177.8,187.96,170,32,22,0,1,0,0,1,0,0,0
848,Demian Maia,Anthony Rocco Martin,6/29/2019,2,812.5927734,32,0,0,2,4,8,4,0,0,0,4,1,3,0,182.88,185.42,170,0,1,0,0,0,0,1,USA,0,1,0,0,0,0,0,Brazil,703.7483274,79,2,5,0,7,20,9,0,0,1,8,1,10,0,185.42,182.88,170,29,41,1,0,0,0,1,0,0,0
859,Bryan Barberena,Randy Brown,6/22/2019,0,586.484375,18,0,1,0,2,4,3,0,0,0,2,1,1,0,190.5,198.12,170,1,0,0,0,0,0,0,Jamaica,1,0,0,0,0,0,0,USA,661.765625,22,0,1,0,2,5,4,0,0,0,1,3,1,0,182.88,182.88,170,28,30,0,0,1,0,1,0,0,0
892,Rafael Dos Anjos,Kevin Lee,5/18/2019,2,1238.25,36,1,0,1,5,10,4,0,0,1,3,1,4,1,175.26,195.58,170,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,Brazil,1384.270872,74,4,0,2,5,17,9,0,0,0,10,4,3,0,172.72,177.8,155,26,34,1,0,0,0,1,0,0,0
908,Thiago Alves,Laureano Staropoli,5/11/2019,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,180.34,170,1,0,0,0,0,0,0,Argentina,1,0,0,0,0,0,0,Brazil,847.3105235,61,1,0,1,7,15,10,0,0,1,5,7,1,1,175.26,177.8,170,26,35,1,0,0,0,1,0,0,0
909,Warlley Alves,Sergio Moraes,5/11/2019,2,773.3730469,31,1,0,1,4,8,4,0,0,2,2,1,3,0,182.88,182.88,170,0,1,0,0,0,0,0,Brazil,0,1,0,0,0,0,0,Brazil,582.4804688,22,1,4,0,4,6,3,0,0,0,2,0,3,1,180.34,182.88,170,36,28,1,0,0,0,1,0,0,0
934,Alex Oliveira,Mike Perry,4/27/2019,0,556.2421875,20,0,2,0,2,5,4,0,0,1,0,4,0,0,177.8,180.34,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,422.8668213,30,0,0,1,3,9,5,0,0,0,2,4,3,0,180.34,193.04,170,27,31,0,1,0,0,1,0,0,0
939,Court McGee,Dhiego Lima,4/27/2019,0,341.140625,12,2,0,1,1,2,5,0,0,0,1,1,0,0,187.96,190.5,170,1,0,0,0,0,0,0,Brazil,0,1,0,0,0,0,0,USA,879.770752,39,1,3,0,3,8,6,0,0,1,5,0,2,0,180.34,190.5,170,30,34,0,1,0,0,1,0,0,0
947,Sultan Aliev,Keita Nakamura,4/20/2019,2,889.3203125,29,0,0,3,1,4,6,0,0,2,0,0,2,0,180.34,185.42,170,0,1,0,0,0,0,0,Japan,0,0,0,0,0,1,0,Russia,565.5,6,0,0,1,1,1,2,0,0,1,0,0,0,0,180.34,187.96,170,34,34,1,0,0,0,1,0,0,0
954,Alan Jouban,Dwight Grant,4/13/2019,0,599.5,4,0,0,1,1,1,1,0,0,0,0,1,0,0,185.42,193.04,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,391.0244141,21,0,1,0,3,7,4,0,0,0,3,4,0,0,182.88,185.42,170,34,37,0,1,0,0,1,0,0,0
958,Curtis Millender,Belal Muhammad,4/13/2019,0,886.8515625,22,0,0,1,4,5,3,0,0,1,3,1,0,0,180.34,182.88,170,1,0,0,0,0,0,0,Palestine,1,0,0,0,0,0,0,USA,484.625,9,0,3,0,3,3,1,0,0,0,2,1,0,0,187.96,193.04,170,30,31,1,0,0,0,0,1,0,0
979,Stephen Thompson,Anthony Pettis,3/23/2019,0,588.3153076,38,4,0,1,5,8,7,0,0,1,1,2,4,0,177.8,182.88,155,1,0,0,0,0,0,0,USA,0,0,0,0,1,0,0,USA,1313.573486,38,2,1,0,7,9,4,0,0,0,4,5,0,0,182.88,190.5,170,32,36,0,1,0,0,1,0,0,0
994,Danny Roberts,Claudio Silva,3/16/2019,0,585.5,7,0,3,0,3,3,0,0,0,1,1,0,1,0,180.34,180.34,170,0,1,0,0,0,0,0,brazil,0,0,0,0,0,1,0,england ,568.21875,14,0,2,0,2,5,2,0,0,1,1,2,1,0,185.42,187.96,170,36,31,1,0,0,0,1,0,0,0
995,Darren Till,Jorge Masvidal,3/16/2019,0,793.7394409,41,0,2,0,3,9,6,0,0,0,5,3,1,0,180.34,187.96,170,1,0,0,1,0,0,0,USA,1,0,0,0,0,0,0,england ,791.640625,19,1,1,0,4,5,2,0,0,0,3,2,0,0,182.88,187.96,185,34,26,1,0,0,0,1,0,0,0
996,Leon Edwards,Gunnar Nelson,3/16/2019,2,419.6738281,23,0,4,0,4,8,3,0,0,0,1,0,7,0,180.34,182.88,170,0,1,0,0,0,0,0,Iceland,1,0,0,0,0,0,0,england ,1194.289063,30,0,0,1,6,8,2,0,0,0,5,2,1,0,187.96,187.96,170,30,27,1,0,0,0,1,0,0,0
1002,Elizeu Zaleski dos Santos,Curtis Millender,3/9/2019,2,814.25,8,0,3,0,3,3,0,0,0,0,2,1,0,0,187.96,193.04,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,468.171875,18,0,0,1,6,6,1,0,0,1,2,3,0,0,180.34,185.42,170,31,32,0,1,0,0,0,1,0,0
1007,Anthony Rocco Martin,Sergio Moraes,3/9/2019,2,646.7460938,28,1,0,1,4,8,3,0,0,2,2,1,3,0,182.88,182.88,170,0,1,0,0,0,0,0,Brazil,0,1,0,0,0,0,1,USA,725.1855469,29,0,0,2,3,7,4,0,0,0,3,1,3,0,182.88,185.42,170,36,29,1,0,0,0,1,0,0,0
1008,Tim Means,Niko Price,3/9/2019,0,234.96875,11,0,1,0,2,4,3,0,0,0,0,2,2,0,182.88,193.04,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,457.2197113,41,0,2,0,4,10,8,0,0,1,3,5,1,0,187.96,190.5,170,29,35,0,0,1,0,0,1,0,0
1012,Alex Morono,Zak Ottow,3/9/2019,2,659.8125,16,0,1,0,1,4,3,0,0,3,0,1,0,0,180.34,182.88,170,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,USA,794.625,18,0,2,0,2,4,3,0,0,1,2,0,1,0,180.34,182.88,170,32,28,1,0,0,0,1,0,0,0
1019,Tyron Woodley,Kamaru Usman,3/2/2019,0,1302.214844,28,1,9,0,9,9,0,0,0,0,7,1,1,0,182.88,193.04,170,1,0,0,0,0,0,0,Nigeria,0,0,0,1,0,0,0,USA,959.4785156,32,5,1,0,3,9,3,0,1,1,1,5,1,0,175.26,187.96,170,31,36,0,1,0,0,1,0,0,0
1022,Diego Sanchez,Mickey Gall,3/2/2019,2,320.6875,8,0,3,0,3,4,1,0,0,0,0,0,4,0,187.96,187.96,170,0,1,0,0,0,0,0,USA,0,0,0,1,0,0,0,USA,605.3186799,73,2,6,0,6,17,11,0,0,3,9,5,0,0,177.8,182.88,170,27,37,1,0,0,0,1,0,0,0
1027,Dwight Grant,Carlo Pedersoli Jr.,2/23/2019,2,469.5,4,0,1,0,1,1,1,0,0,1,0,0,0,0,180.34,190.5,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,185.42,193.04,170,25,34,1,0,0,0,1,0,0,0
1045,Vicente Luque,Bryan Barberena,2/17/2019,2,429.53125,19,0,1,0,2,5,3,0,0,0,1,3,1,0,182.88,182.88,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,316.3476563,15,0,0,1,4,7,2,0,0,0,0,4,3,0,180.34,190.5,170,29,27,1,0,0,0,1,0,0,0
1062,Demian Maia,Lyman Good,2/2/2019,2,400.25,6,0,1,0,1,2,1,0,0,0,0,2,0,0,182.88,187.96,170,1,0,0,0,0,0,0,USA,0,1,0,0,0,0,0,Brazil,1249.496655,78,2,5,0,7,19,9,0,0,1,8,1,9,0,185.42,182.88,170,33,41,0,0,1,0,1,0,0,0
1071,Thiago Alves,Max Griffin,2/2/2019,2,837,13,0,0,1,1,2,3,0,0,0,1,1,0,0,180.34,193.04,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,794.621047,58,1,0,1,7,14,10,0,0,0,5,7,1,1,175.26,177.8,170,33,35,1,0,0,0,0,0,1,0
