,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
621,Francisco Trinaldo,Bobby Green,2019-11-16,875.904296875,26,0,4,0,4,5,5,0,0,1,2,1,1,0,177.8,180.34,155.0,795.8603401184082,47,0,1,0,7,13,6,0,0,1,6,3,2,1,175.26,177.8,155.0,33.0,41.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
632,Alexander Yakovlev,Roosevelt Roberts,2019-11-09,747.5,7,0,2,0,2,2,1,0,0,0,1,0,1,0,187.96,185.42,155.0,564.1875,17,0,0,2,2,3,4,0,0,0,1,1,1,0,190.5,187.96,155.0,25.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
635,Kevin Lee,Gregor Gillespie,2019-11-02,527.46875,11,0,6,0,6,6,0,0,0,0,1,3,2,0,170.18,180.34,155.0,1182.625,40,1,0,1,5,10,5,0,0,1,3,1,4,1,175.26,195.58,170.0,32.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
648,Michael Johnson,Stevie Ray,2019-10-26,474.611328125,23,0,3,0,3,6,4,0,1,1,2,2,0,0,177.8,177.8,155.0,829.8610439300537,53,1,0,1,4,11,10,0,0,1,6,4,0,0,177.8,185.42,155.0,29.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
651,Frank Camacho,Beneil Dariush,2019-10-26,613.8062133789062,32,0,1,0,5,10,5,0,0,1,4,1,4,0,177.8,182.88,155.0,618.75,13,0,0,1,1,2,3,0,0,1,0,1,0,0,177.8,185.42,170.0,30.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
654,Alex White,Rafael Fiziev,2019-10-26,86.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,172.72,180.34,155.0,673.15625,22,0,1,0,1,4,5,0,0,0,2,2,0,0,182.88,180.34,155.0,26.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
673,Mike Davis,Thomas Gifford,2019-10-12,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,185.42,190.5,155.0,555.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,182.88,145.0,27.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
675,Matt Frevola,Luis Pena,2019-10-12,701.0,10,0,1,0,2,3,1,0,0,0,1,1,1,0,190.5,190.5,155.0,690.0,7,0,0,2,1,1,2,0,0,0,1,0,0,0,175.26,180.34,155.0,26.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
690,Al Iaquinta,Dan Hooker,2019-10-05,328.794921875,24,0,1,0,4,8,4,0,0,0,0,6,2,0,182.88,190.5,155.0,1363.088623046875,38,2,0,1,5,9,4,0,0,1,4,4,0,0,177.8,177.8,155.0,29.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
707,Marc Diakiese,Lando Vannata,2019-09-28,577.84375,16,0,0,1,1,2,5,0,0,0,0,1,1,0,175.26,180.34,155.0,835.5625,18,0,3,0,3,4,3,0,0,0,2,2,0,0,177.8,185.42,155.0,27.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
718,Claudio Puelles,Marcos Mariano,2019-09-21,295.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,185.42,193.04,155.0,579.0,5,1,0,1,1,1,1,0,0,0,0,0,1,0,180.34,182.88,155.0,32.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
721,Donald Cerrone,Justin Gaethje,2019-09-14,302.5625,11,0,1,0,2,3,2,0,0,0,0,3,0,0,180.34,177.8,155.0,817.1069295210764,70,1,4,0,8,23,9,0,0,0,7,10,6,0,185.42,185.42,155.0,30.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
730,Kyle Prepolec,Austin Hubbard,2019-09-14,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,180.34,155.0,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,177.8,170.0,27.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
736,Islam Makhachev,Davi Ramos,2019-09-07,608.0,11,0,0,1,4,4,1,0,0,0,1,0,3,0,167.64,177.8,155.0,621.0625,14,0,1,0,5,6,1,0,0,0,3,1,2,0,177.8,177.8,155.0,32.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
737,Khabib Nurmagomedov,Dustin Poirier,2019-09-07,1082.9489650726316,50,1,4,0,4,17,5,0,1,0,5,8,3,0,175.26,182.88,155.0,1118.548828125,33,2,11,0,11,11,0,0,0,0,6,2,3,0,177.8,177.8,155.0,30.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
738,Edson Barboza,Paul Felder,2019-09-07,792.16064453125,30,0,2,0,3,8,4,0,0,1,2,4,1,0,180.34,177.8,155.0,525.5115947723389,52,0,4,0,4,14,7,0,1,1,5,7,0,0,180.34,190.5,145.0,35.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
740,Mairbek Taisumov,Diego Ferreira,2019-09-07,641.3671875,16,0,2,0,4,6,2,0,0,0,2,3,1,0,175.26,187.96,155.0,548.953125,16,0,1,0,6,7,1,0,0,0,2,5,0,0,175.26,185.42,155.0,34.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
754,Damir Ismagulov,Thiago Moises,2019-08-31,900.0,6,0,0,1,1,1,1,0,0,0,1,0,0,0,175.26,177.8,155.0,900.0,6,0,2,0,2,2,0,0,0,0,2,0,0,0,175.26,177.8,155.0,24.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
759,Christos Giagos,Drakkar Klose,2019-08-17,900.0,15,0,2,0,2,4,1,0,0,1,3,0,0,0,175.26,177.8,155.0,809.28125,13,0,0,1,2,3,3,0,0,0,2,0,1,0,177.8,180.34,155.0,31.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
782,Joaquim Silva,Nasrat Haqparast,2019-08-03,900.0,9,0,0,1,2,2,1,0,0,0,2,0,0,0,177.8,182.88,155.0,775.375,13,0,3,0,3,4,1,0,0,2,0,2,0,0,172.72,175.26,155.0,23.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
783,Scott Holtzman,Dong Hyun Ma,2019-08-03,450.84375,14,0,0,2,3,3,3,0,0,1,1,1,0,0,180.34,177.8,155.0,879.40625,24,0,1,0,3,5,3,0,0,0,3,1,1,0,175.26,175.26,155.0,30.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
787,Jim Miller,Clay Guida,2019-08-03,589.5094515383244,70,0,1,0,4,15,12,0,0,3,6,2,4,0,170.18,177.8,155.0,162.49886084115133,72,0,2,0,7,19,13,0,0,2,6,3,8,0,172.72,180.34,155.0,37.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
799,Olivier Aubin-Mercier,Arman Tsarukyan,2019-07-27,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,170.18,182.88,155.0,777.7421875,29,1,0,1,4,7,4,0,0,1,1,1,4,0,175.26,177.8,155.0,22.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
808,Alexander Hernandez,Francisco Trinaldo,2019-07-20,691.7206802368164,44,0,1,0,7,13,5,0,0,1,6,3,2,1,175.26,177.8,155.0,497.0,6,0,2,0,2,2,1,0,0,0,1,1,0,0,175.26,182.88,155.0,40.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
809,James Vick,Dan Hooker,2019-07-20,504.58984375,23,0,1,0,4,7,4,0,0,0,0,5,2,0,182.88,190.5,155.0,644.2314453125,25,0,5,0,5,9,3,0,0,0,4,2,3,0,190.5,193.04,155.0,29.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
844,Roosevelt Roberts,Vinc Pichel,2019-06-29,613.71875,13,0,0,1,4,4,2,0,0,0,3,1,0,0,177.8,182.88,155.0,595.0,4,0,2,0,2,2,0,0,0,0,1,0,1,0,187.96,185.42,155.0,36.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
847,Drew Dober,Marco Polo Reyes,2019-06-29,331.8125,11,0,3,0,3,4,2,0,0,1,0,3,0,0,180.34,180.34,155.0,665.185546875,25,0,0,2,3,6,6,0,0,0,3,2,1,0,172.72,177.8,155.0,34.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
853,Jared Gordon,Dan Moret,2019-06-29,629.5,5,0,0,2,0,0,2,0,0,0,0,0,0,0,182.88,185.42,155.0,592.0,9,0,2,0,2,2,2,0,0,0,1,1,0,0,175.26,172.72,145.0,32.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
856,Matt Wiman,Luis Pena,2019-06-22,728.0,7,0,1,0,1,2,1,0,0,0,1,0,1,0,190.5,190.5,155.0,657.049072265625,33,0,0,1,4,10,5,0,0,0,5,2,3,0,177.8,172.72,155.0,25.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
870,Tony Ferguson,Donald Cerrone,2019-06-08,1034.2138590421528,68,1,4,0,8,23,8,0,0,0,7,10,6,0,185.42,185.42,155.0,760.3250732421875,33,2,3,0,11,14,1,0,0,1,3,3,6,1,180.34,193.04,155.0,36.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
878,Stevie Ray,Leonardo Santos,2019-06-01,660.21875,14,1,1,0,4,5,1,0,0,1,1,1,2,0,182.88,190.5,155.0,812.22265625,22,0,3,0,3,6,3,0,1,1,2,2,0,0,177.8,177.8,155.0,39.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
880,Damir Hadzovic,Christos Giagos,2019-06-01,718.5625,10,0,0,1,1,2,3,0,0,0,1,0,1,0,177.8,180.34,155.0,600.9375,12,0,0,1,2,3,2,0,0,1,0,2,0,0,175.26,177.8,155.0,29.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
888,Nick Hein,Frank Camacho,2019-06-01,641.5,11,0,0,1,1,1,3,0,0,1,0,0,0,0,177.8,185.42,170.0,738.75,19,0,1,0,3,4,3,0,0,0,4,0,0,0,167.64,167.64,155.0,30.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
897,Charles Oliveira,Nik Lentz,2019-05-18,733.6952819824219,59,0,1,0,4,14,8,0,0,2,7,3,2,0,172.72,172.72,145.0,294.33949089050293,42,0,2,0,4,14,9,0,0,0,1,0,13,0,177.8,187.96,155.0,34.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
906,Thiago Moises,Kurt Holobaugh,2019-05-11,462.75,7,0,0,3,0,0,3,0,0,0,0,0,0,0,180.34,177.8,155.0,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,175.26,177.8,155.0,32.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
912,BJ Penn,Clay Guida,2019-05-11,279.01890307664866,67,0,1,0,4,14,12,0,0,3,5,2,4,0,170.18,177.8,155.0,456.8727228939533,74,11,3,0,3,12,14,0,0,0,1,6,4,1,175.26,177.8,155.0,37.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
916,Al Iaquinta,Donald Cerrone,2019-05-04,568.4277180843055,63,1,4,0,8,22,8,0,0,0,6,10,6,0,185.42,185.42,155.0,1226.17724609375,33,2,0,1,5,9,3,0,0,1,4,4,0,0,177.8,177.8,155.0,36.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
938,Jim Miller,Jason Gonzalez,2019-04-27,300.25,4,0,0,1,1,1,2,0,0,0,0,0,1,0,187.96,187.96,155.0,192.99772168230263,71,0,2,0,7,18,13,0,0,2,6,3,7,0,172.72,180.34,155.0,29.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
951,Max Holloway,Dustin Poirier,2019-04-13,665.8979301452638,45,0,4,0,4,16,5,0,1,0,4,8,3,0,175.26,182.88,155.0,1033.9418678283694,50,4,0,1,13,16,3,0,0,1,4,8,2,1,180.34,175.26,145.0,30.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
955,Jalin Turner,Matt Frevola,2019-04-13,480.0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,175.26,180.34,155.0,142.5,2,0,0,1,1,1,1,0,0,0,0,1,0,0,190.5,195.58,155.0,28.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
964,Edson Barboza,Justin Gaethje,2019-03-30,455.125,10,0,1,0,1,2,2,0,0,0,0,2,0,0,180.34,177.8,155.0,901.0231895446776,51,0,4,0,4,14,6,0,1,1,5,7,0,0,180.34,190.5,145.0,30.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
966,Ross Pearson,Desmond Green,2019-03-30,900.0,15,0,1,0,1,2,3,0,0,1,1,0,0,0,177.8,185.42,155.0,847.2854319810867,65,1,3,0,3,12,13,0,0,2,5,4,0,1,172.72,175.26,155.0,29.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
992,Marc Diakiese,Joe Duffy,2019-03-16,593.0,11,0,2,0,2,4,2,0,0,0,1,1,2,0,177.8,185.42,155.0,771.125,15,0,3,0,3,3,3,0,0,0,1,2,0,0,177.8,185.42,155.0,31.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1004,Beneil Dariush,Drew Dober,2019-03-09,749.37109375,23,0,0,2,3,6,5,0,0,0,3,2,1,0,172.72,177.8,155.0,646.6124267578125,30,0,1,0,5,9,5,0,0,1,4,1,3,0,177.8,182.88,155.0,30.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1011,Alex White,Dan Moret,2019-03-09,359.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,185.42,155.0,446.3125,19,0,1,0,1,3,5,0,0,0,1,2,0,0,182.88,180.34,155.0,32.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1034,Damir Hadzovic,Marco Polo Reyes,2019-02-23,240.625,9,0,3,0,3,4,1,0,0,1,0,3,0,0,180.34,180.34,155.0,778.875,10,0,0,1,1,2,2,0,0,1,0,1,0,0,175.26,177.8,155.0,34.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1038,Rustam Khabilov,Diego Ferreira,2019-02-23,382.734375,13,0,2,0,3,5,2,0,0,0,1,3,1,0,175.26,187.96,155.0,898.8193359375,30,0,3,0,6,9,2,0,0,1,6,1,0,1,172.72,185.42,155.0,34.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1043,James Vick,Paul Felder,2019-02-17,684.3212890625,27,0,2,0,3,7,4,0,0,1,1,4,1,0,180.34,177.8,155.0,388.462890625,22,0,5,0,5,9,2,0,0,0,4,2,3,0,190.5,193.04,155.0,34.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1049,Scott Holtzman,Nik Lentz,2019-02-17,567.3905639648438,56,0,1,0,4,13,8,0,0,2,6,3,2,0,172.72,172.72,145.0,858.8125,21,0,1,0,3,5,2,0,0,0,3,1,1,0,175.26,175.26,155.0,34.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1056,Devonte Smith,Dong Hyun Ma,2019-02-09,668.6875,13,0,0,2,3,3,2,0,0,1,1,1,0,0,180.34,177.8,155.0,46.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,175.26,193.04,155.0,30.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1063,Charles Oliveira,David Teymur,2019-02-02,835.6875,13,0,5,0,5,5,0,0,0,0,3,2,0,0,175.26,185.42,155.0,233.67898178100586,40,0,2,0,4,13,9,0,0,0,1,0,12,0,177.8,187.96,155.0,29.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1076,Alexander Hernandez,Donald Cerrone,2019-01-19,613.8554361686109,61,1,4,0,8,21,8,0,0,0,6,9,6,0,185.42,185.42,155.0,471.0,4,0,2,0,2,2,0,0,0,0,1,1,0,0,175.26,182.88,155.0,35.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1078,Gregor Gillespie,Yancy Medeiros,2019-01-19,449.59912109375,21,0,0,3,3,6,6,0,0,1,0,2,3,0,177.8,190.5,155.0,455.9375,9,0,5,0,5,5,0,0,0,0,1,2,2,0,170.18,180.34,155.0,31.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1085,Dennis Bermudez,Te Edwards,2019-01-19,314.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,172.72,182.88,155.0,847.2240295410156,39,1,0,1,7,9,7,0,0,2,4,1,2,0,167.64,167.64,155.0,28.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
