R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Michel Prazeres,Bartosz Fabinski,900,9,0,3,0,3,3,0,182.88,190.5,170,823.375,31,0,0,1,7,9,2,167.64,170.18,170,32,37,0,0,0,2
Neil Magny,Santiago Ponzinibbio,660.59375,21,0,0,1,6,8,2,182.88,185.42,170,480.2082405,48,0,1,0,7,14,5,190.5,203.2,170,32,31,0,0,0,0
Donald Cerrone,Mike Perry,826.484375,19,0,2,0,2,5,3,177.8,180.34,170,941.7108723,60,1,4,0,8,20,8,185.42,185.42,155,27,35,0,0,0,2
Lyman Good,Ben Saunders,448.2849731,32,0,3,0,3,9,7,187.96,195.58,170,708.5,5,0,1,0,1,1,1,182.88,187.96,170,35,33,0,0,0,2
Nordine Taleb,Sean Strickland,556.4570313,23,0,2,0,3,6,3,185.42,193.04,185,353.984375,21,0,3,0,3,6,3,185.42,187.96,170,27,37,0,0,0,0
Alex Garcia,Court McGee,859.5415039,36,1,3,0,3,7,6,180.34,190.5,170,753.1835938,22,0,2,0,2,5,4,175.26,182.88,170,33,31,0,0,0,0
Ryan LaFlare,Anthony Rocco Martin,882.7421875,23,0,0,2,3,5,4,182.88,185.42,170,796.25,28,0,4,0,4,7,2,185.42,187.96,170,28,35,1,0,-1,0
Alex Oliveira,Carlo Pedersoli Jr.,900,3,0,1,0,1,1,0,180.34,190.5,170,538.4672852,27,0,0,1,3,8,4,180.34,193.04,170,25,30,0,1,1,2
Sergio Moraes,Ben Saunders,314.5699463,30,0,3,0,3,9,6,187.96,195.58,170,711.4921875,26,1,0,1,4,7,3,182.88,182.88,170,35,36,0,0,0,2
Abdul Razak Alhassan,Niko Price,426.9375,10,0,1,0,2,4,2,182.88,193.04,170,297.875,6,0,1,0,2,3,1,177.8,185.42,170,28,33,0,0,0,2
Geoff Neal,Frank Camacho,900,9,0,0,1,1,1,2,177.8,185.42,170,168,1,0,1,0,1,1,0,180.34,190.5,170,29,28,1,0,-1,2
Tyron Woodley,Darren Till,1024.28125,17,0,1,0,4,5,1,182.88,187.96,185,1359.957031,30,4,1,0,3,8,3,175.26,187.96,170,25,36,0,1,1,2
Diego Sanchez,Craig White,272,1,0,0,1,0,0,1,187.96,193.04,170,310.6373599,70,2,6,0,6,16,11,177.8,182.88,170,28,36,1,0,-1,2
James Krause,Warlley Alves,716.9609375,20,1,4,0,4,6,2,180.34,182.88,170,841.8320313,21,0,1,0,4,6,3,187.96,185.42,170,27,32,0,0,0,2
Jake Ellenberger,Bryan Barberena,713.0625,18,0,1,0,2,4,3,182.88,182.88,170,227.1618652,40,0,0,1,6,10,10,175.26,180.34,170,29,33,0,1,1,0
Mickey Gall,George Sullivan,546.28125,14,0,2,0,2,3,3,182.88,185.42,170,572.375,7,0,3,0,3,3,1,187.96,187.96,170,37,26,2,0,-2,2
Jordan Mein,Alex Morono,478.5,12,0,2,0,2,3,2,180.34,182.88,170,830.015625,18,0,1,0,2,4,4,182.88,185.42,170,27,28,0,0,0,2
Emil Meek,Bartosz Fabinski,900,6,0,2,0,2,2,0,182.88,190.5,170,900,6,0,1,0,1,1,1,180.34,187.96,170,32,29,2,0,-2,0
Randy Brown,Niko Price,484.875,8,0,1,0,1,3,2,182.88,193.04,170,803.96875,16,0,1,0,2,4,2,190.5,198.12,170,28,28,0,0,0,0
Sage Northcutt,Zak Ottow,346.25,11,0,1,0,1,3,2,180.34,182.88,170,802.65625,16,0,2,0,2,5,2,182.88,180.34,170,31,22,0,0,0,2
Paul Felder,Mike Perry,752.96875,16,0,2,0,2,4,3,177.8,180.34,170,468.6425781,24,0,2,0,3,7,3,180.34,177.8,155,26,34,0,0,0,0
Curtis Millender,Max Griffin,774,10,0,0,1,1,2,2,180.34,193.04,170,557,2,0,1,0,1,1,0,187.96,193.04,170,32,30,0,0,0,2
Li Jingliang,Daichi Abe,900,6,0,1,0,1,1,1,180.34,180.34,170,667.7109375,20,0,1,0,4,6,3,182.88,180.34,170,26,30,0,0,0,2
Donald Cerrone,Leon Edwards,888.578125,25,0,0,1,5,7,2,187.96,187.96,170,383.4217447,55,1,4,0,8,20,7,185.42,185.42,155,26,35,0,1,1,0
Shinsho Anzai,Jake Matthews,846.9140625,21,0,2,0,2,6,3,180.34,185.42,170,676,7,0,0,1,2,2,1,170.18,177.8,170,23,32,0,0,0,0
Rafael Dos Anjos,Colby Covington,866.71875,23,0,3,0,5,8,1,180.34,182.88,170,1037.083488,64,3,0,2,5,17,7,172.72,177.8,155,30,33,1,0,-1,0
CM Punk,Mike Jackson,45,1,0,0,1,0,0,1,187.96,,170,134,1,0,0,1,0,0,1,185.42,185.42,170,33,39,0,0,0,1
Jake Ellenberger,Ben Saunders,513.1398926,29,0,3,0,3,8,6,187.96,195.58,170,338.3237305,39,0,0,1,6,10,9,175.26,180.34,170,35,33,0,0,0,0
Stephen Thompson,Darren Till,548.5625,12,0,1,0,3,4,1,182.88,187.96,185,1127.146973,33,2,1,0,7,9,3,182.88,190.5,170,25,35,0,1,1,0
Claudio Silva,Nordine Taleb,436.96875,20,0,3,0,3,6,2,185.42,187.96,170,900,6,0,2,0,2,2,0,180.34,180.34,170,36,35,1,0,-1,2
Zak Cummings,Michel Prazeres,746.75,28,0,0,1,6,8,2,167.64,170.18,170,454.3359375,16,0,2,0,2,6,2,182.88,190.5,185,36,33,1,0,-1,0
Demian Maia,Kamaru Usman,708.859375,18,1,7,0,7,7,0,182.88,193.04,170,998.9933095,73,2,5,0,7,19,8,185.42,182.88,170,31,40,1,2,1,0
Vicente Luque,Chad Laprise,398.21875,18,1,3,0,3,6,2,177.8,180.34,170,545.390625,13,0,0,1,4,5,2,180.34,190.5,170,31,26,0,0,0,2
Elizeu Zaleski dos Santos,Sean Strickland,892.9140625,22,0,2,0,3,6,2,185.42,193.04,185,892.6875,15,0,0,1,4,4,1,180.34,185.42,170,27,31,0,0,0,2
Alberto Mina,Ramazan Emeev,900,3,0,1,0,1,1,0,177.8,193.04,170,477.75,6,0,3,0,3,3,0,182.88,195.58,170,30,36,0,1,1,0
Warlley Alves,Sultan Aliev,531,4,0,0,1,1,1,1,180.34,187.96,170,833.921875,18,1,4,0,4,5,2,180.34,182.88,170,33,27,0,0,0,2
Ryan LaFlare,Alex Garcia,606.3671875,19,0,2,0,2,5,3,175.26,182.88,170,692.5,25,0,4,0,4,6,2,185.42,187.96,170,30,34,1,0,-1,2
Siyar Bahadurzada,Luan Chagas,728.25,8,0,0,2,1,1,2,182.88,190.5,170,629.125,12,0,1,0,2,3,2,180.34,185.42,170,24,34,0,0,0,2
Anthony Rocco Martin,Keita Nakamura,857.28125,23,0,0,3,1,3,5,180.34,185.42,170,865.484375,20,0,0,2,3,4,4,182.88,185.42,170,33,28,0,1,1,2
Carlos Condit,Alex Oliveira,579.9345703,25,0,0,1,3,7,4,180.34,193.04,170,747.5935059,41,3,0,1,5,7,7,187.96,190.5,170,30,33,0,0,0,0
Dhiego Lima,Yushin Okami,300.7434311,49,1,4,0,4,13,6,187.96,190.5,170,270.5625,8,2,0,1,1,1,4,187.96,190.5,170,36,29,0,1,1,0
Danny Roberts,Oliver Enkamp,900,3,0,0,1,0,0,1,182.88,195.58,170,340.875,10,0,2,0,2,3,2,185.42,187.96,170,26,30,1,2,1,2
Leon Edwards,Peter Sobotta,531.9375,19,0,0,3,2,4,4,182.88,190.5,170,878.15625,22,0,0,1,4,6,2,187.96,187.96,170,31,26,1,1,0,2
Mike Pyle,Zak Ottow,538.5,10,0,1,0,1,2,2,180.34,182.88,170,385.6036148,36,0,0,1,4,10,8,182.88,187.96,170,31,42,0,0,0,0
Mike Perry,Max Griffin,648,7,0,0,1,1,1,2,180.34,193.04,170,605.9375,13,0,2,0,2,4,2,177.8,180.34,170,32,26,0,0,0,0
Ben Saunders,Alan Jouban,324.0488281,19,0,1,0,3,6,4,182.88,185.42,170,568.2797852,27,0,3,0,3,8,5,187.96,195.58,170,36,34,0,1,1,0
Donald Cerrone,Yancy Medeiros,601.1982422,20,0,0,3,3,6,5,177.8,190.5,155,468.8434893,54,1,4,0,8,19,7,185.42,185.42,155,30,34,0,0,0,2
Joshua Burkman,Alex Morono,825,11,0,2,0,2,2,2,180.34,182.88,170,337.5272369,44,0,2,0,2,6,12,177.8,182.88,170,27,37,0,0,0,0
Jake Matthews,Li Jingliang,435.421875,17,0,1,0,4,6,2,182.88,180.34,170,793.828125,18,0,2,0,2,5,3,180.34,185.42,170,29,23,0,0,0,2
Luke Jumeau,Daichi Abe,900,3,0,1,0,1,1,0,180.34,180.34,170,900,6,0,1,0,1,1,1,180.34,182.88,170,26,29,0,0,0,2
Sergio Moraes,Tim Means,772.8788452,37,0,2,0,4,9,7,187.96,190.5,170,522.984375,23,1,0,1,4,6,3,182.88,182.88,170,33,35,0,0,0,2
Drew Dober,Frank Camacho,900,6,0,0,1,1,1,1,177.8,185.42,170,297.484375,17,0,0,2,2,4,5,172.72,177.8,155,28,29,1,0,-1,2
Niko Price,George Sullivan,531.5625,12,0,2,0,2,3,2,182.88,185.42,170,408.75,6,0,1,0,1,2,2,182.88,193.04,170,36,28,0,0,0,2
Sabah Homasi,Abdul Razak Alhassan,368.75,5,0,1,0,1,2,1,177.8,185.42,170,368.5,3,0,0,2,0,0,2,182.88,182.88,170,32,29,0,0,0,0
Kamaru Usman,Emil Meek,900,3,0,1,0,1,1,0,180.34,187.96,170,517.71875,15,1,6,0,6,6,0,182.88,193.04,170,29,30,2,2,0,2
Carlos Condit,Neil Magny,476.832962,44,0,1,0,7,12,5,190.5,203.2,170,595.1870117,38,3,0,1,5,7,6,187.96,190.5,170,30,33,0,0,0,0
Chad Laprise,Galore Bofando,130,1,0,1,0,1,1,0,180.34,182.88,170,546.4375,17,1,3,0,3,5,2,177.8,180.34,170,35,31,0,2,2,2
Robbie Lawler,Rafael Dos Anjos,574.1669757,59,3,0,2,5,16,7,172.72,177.8,155,833.9141617,52,5,3,0,5,13,5,180.34,187.96,170,33,35,1,1,0,0
Nordine Taleb,Danny Roberts,622.75,9,0,2,0,2,3,1,185.42,187.96,170,814.9375,19,0,3,0,3,5,2,185.42,187.96,170,30,36,0,1,1,2
Santiago Ponzinibbio,Mike Perry,311.875,10,0,2,0,2,4,1,177.8,180.34,170,421.1875,18,0,0,1,5,7,2,182.88,185.42,170,26,31,0,0,0,2
Jordan Mein,Erick Silva,542.0155029,25,0,1,0,2,7,7,182.88,187.96,170,760.03125,15,0,1,0,2,3,4,182.88,185.42,170,33,28,0,0,0,2
Alex Oliveira,Yancy Medeiros,480.3964844,17,0,0,3,2,5,5,177.8,190.5,155,437.8691406,22,0,0,1,3,7,3,180.34,193.04,170,30,29,0,0,0,0
Sabah Homasi,Abdul Razak Alhassan,476.5,4,0,1,0,1,1,1,177.8,185.42,170,476,2,0,0,1,0,0,1,182.88,182.88,170,32,29,0,0,0,0
Li Jingliang,Zak Ottow,900,9,0,1,0,1,2,1,180.34,182.88,170,693.84375,16,0,1,0,3,5,2,182.88,180.34,170,30,29,0,0,0,2
Jake Matthews,Bojan Velickovic,894.25,15,0,1,0,1,2,3,182.88,193.04,170,687.65625,15,0,2,0,2,4,3,180.34,185.42,170,28,23,0,1,1,2
Tim Means,Belal Muhammad,794.8125,13,0,0,1,2,3,2,180.34,182.88,170,645.7576904,34,0,2,0,4,9,6,187.96,190.5,170,29,33,0,0,0,0
Matt Brown,Diego Sanchez,397.2747197,69,2,6,0,6,16,10,177.8,182.88,170,529.2568049,53,0,1,0,7,13,10,182.88,190.5,170,35,36,0,1,1,2
Court McGee,Sean Strickland,885.828125,19,0,2,0,3,5,2,185.42,193.04,185,819.0830078,33,1,3,0,3,7,5,180.34,190.5,170,26,32,0,0,0,0
Stephen Thompson,Jorge Masvidal,687.4788818,38,0,2,0,3,9,5,180.34,187.96,170,1354.293945,30,2,1,0,7,8,3,182.88,190.5,170,32,34,0,0,0,2
Randy Brown,Mickey Gall,244.75,4,0,3,0,3,3,0,187.96,187.96,170,707.9375,13,0,1,0,2,3,2,190.5,198.12,170,25,27,0,2,2,2
Vicente Luque,Niko Price,269.5,4,0,1,0,1,2,1,182.88,193.04,170,542.78125,11,0,0,1,4,4,2,180.34,190.5,170,28,25,0,0,0,2
Demian Maia,Colby Covington,833.4375,20,0,3,0,4,7,1,180.34,182.88,170,1097.986619,70,2,5,0,7,19,7,185.42,182.88,170,29,39,1,0,-1,0
Elizeu Zaleski dos Santos,Max Griffin,396,4,0,0,1,1,1,1,180.34,193.04,170,885.375,12,0,0,1,3,3,1,180.34,185.42,170,31,30,0,0,0,2
Donald Cerrone,Darren Till,837.125,11,0,1,0,2,3,1,182.88,187.96,185,677.6869787,53,1,4,0,8,19,6,185.42,185.42,155,24,34,0,1,1,0
Keita Nakamura,Alex Morono,750,8,0,2,0,2,2,1,180.34,182.88,170,814.5625,20,0,0,3,1,2,5,180.34,185.42,170,27,33,1,0,-1,2
Shinsho Anzai,Luke Jumeau,900,3,0,1,0,1,1,0,180.34,182.88,170,452,4,0,0,1,1,1,1,170.18,177.8,170,29,31,0,0,0,2
Kamaru Usman,Sergio Moraes,877.96875,22,1,0,1,4,6,2,182.88,182.88,170,867.4375,14,1,5,0,5,5,0,182.88,193.04,170,35,30,2,0,-2,2
Neil Magny,Rafael Dos Anjos,925.3339515,58,3,0,2,5,15,7,172.72,177.8,155,730.6659241,43,0,1,0,7,12,4,190.5,203.2,170,32,30,0,1,1,0
Darren Till,Bojan Velickovic,888.5,12,0,1,0,1,2,2,182.88,193.04,170,774.25,8,0,1,0,1,2,1,182.88,187.96,185,28,24,1,1,0,2
Leon Edwards,Bryan Barberena,526.125,15,0,1,0,2,4,2,182.88,182.88,170,856.3125,19,0,0,1,3,5,2,187.96,187.96,170,28,26,1,1,0,2
Alan Jouban,Niko Price,435,3,0,1,0,1,1,1,182.88,193.04,170,544.0976563,18,0,1,0,3,6,3,182.88,185.42,170,27,35,1,0,-1,0
Tyron Woodley,Demian Maia,695.9732382,65,1,5,0,7,19,6,185.42,182.88,170,1219.914063,25,3,1,0,3,7,3,175.26,187.96,170,39,35,0,1,1,2
Robbie Lawler,Donald Cerrone,455.3739574,50,1,4,0,8,19,5,185.42,185.42,155,767.8283234,49,5,3,0,5,12,5,180.34,187.96,170,34,35,1,0,-1,2
Lyman Good,Elizeu Zaleski dos Santos,870.75,9,0,0,1,2,2,1,180.34,185.42,170,517,2,0,1,0,1,1,0,182.88,187.96,170,30,32,0,0,0,0
Ryan LaFlare,Alex Oliveira,465.7382813,20,0,0,1,3,6,3,180.34,193.04,170,975,23,0,4,0,4,6,1,185.42,187.96,170,29,33,1,0,-1,0
Danny Roberts,Bobby Nash,585,2,0,0,1,0,0,1,182.88,187.96,170,706.5,7,0,2,0,2,2,1,185.42,187.96,170,27,30,1,0,-1,2
Gunnar Nelson,Santiago Ponzinibbio,760.375,17,0,0,1,4,6,2,182.88,185.42,170,482.6953125,20,0,4,0,4,7,2,180.34,182.88,170,30,28,2,0,-2,0
Chad Laprise,Brian Camozzi,385,2,0,0,1,0,0,1,187.96,198.12,170,405.875,14,1,3,0,3,4,2,177.8,180.34,170,26,30,0,0,0,2
Jordan Mein,Belal Muhammad,689.625,10,0,0,1,1,2,2,180.34,182.88,170,620.0625,12,0,1,0,2,3,3,182.88,185.42,170,28,27,0,0,0,0
Dhiego Lima,Jesse Taylor,238,1,0,0,1,0,0,1,182.88,185.42,170,198.125,6,1,0,1,1,1,3,187.96,190.5,170,34,28,0,0,0,0
Tim Means,Alex Garcia,521.46875,14,0,2,0,2,4,2,175.26,182.88,170,391.5153809,31,0,2,0,4,8,6,187.96,190.5,170,29,33,0,0,0,2
Dong Hyun Kim,Colby Covington,766.875,17,0,3,0,3,6,1,180.34,182.88,170,633.4303741,42,0,2,0,4,13,4,187.96,193.04,170,29,35,1,0,-1,0
Tarec Saffiedine,Rafael Dos Anjos,950.6679029,55,3,0,2,5,14,7,172.72,177.8,155,924.25,17,0,1,0,1,2,3,177.8,177.8,170,32,30,2,1,-1,0
Kiichi Kunimoto,Zak Ottow,900,6,0,1,0,1,1,1,180.34,182.88,170,609.625,8,0,3,0,3,3,1,177.8,180.34,170,30,36,0,0,0,0
Erick Silva,Yancy Medeiros,539.7929688,15,0,0,3,2,4,5,177.8,190.5,155,663.0310059,23,0,1,0,2,7,6,182.88,187.96,170,29,32,0,0,0,0
Luan Chagas,Jim Wallhead,900,3,0,0,1,0,0,1,177.8,,170,868.5,6,0,0,2,0,0,2,182.88,190.5,170,33,23,0,0,0,2
Abdul Razak Alhassan,Omari Akhmedov,792.484375,15,0,1,0,2,4,3,182.88,185.42,185,53,1,0,1,0,1,1,0,177.8,185.42,170,29,31,0,0,0,0
Nicholas Musoke,Bojan Velickovic,900,9,0,1,0,1,1,2,182.88,193.04,170,855.4375,13,0,2,0,2,3,2,182.88,190.5,170,28,31,0,1,1,0
Darren Till,Jessin Ayari,900,3,0,1,0,1,1,0,182.88,185.42,155,648.5,5,0,1,0,1,1,1,182.88,187.96,185,24,24,1,0,-1,2
Peter Sobotta,Ben Saunders,687.5595703,25,0,3,0,3,8,4,187.96,195.58,170,614.875,17,0,0,3,2,3,4,182.88,190.5,170,34,30,1,0,-1,2
Demian Maia,Jorge Masvidal,474.9577637,35,0,2,0,3,9,4,180.34,187.96,170,491.9464763,62,1,5,0,6,18,6,185.42,182.88,170,32,39,1,0,-1,2
Jake Ellenberger,Mike Perry,724.5,7,0,2,0,2,2,1,177.8,180.34,170,311.6474609,37,0,0,1,6,10,8,175.26,180.34,170,25,32,0,0,0,0
Bryan Barberena,Joe Proctor,391.859375,14,0,1,0,2,4,3,177.8,182.88,155,842.25,14,0,1,0,2,3,2,182.88,182.88,170,31,27,1,0,-1,2
Zak Cummings,Nathan Coy,533,4,0,0,1,1,1,1,177.8,175.26,170,647.671875,15,0,2,0,2,5,2,182.88,190.5,185,38,32,1,1,0,2
Kamaru Usman,Sean Strickland,871.65625,16,0,2,0,3,5,1,185.42,193.04,185,834.875,11,1,4,0,4,4,0,182.88,193.04,170,26,29,2,0,-2,2
Thiago Alves,Patrick Cote,665.7402782,50,2,0,4,4,10,10,180.34,190.5,170,742.9683762,50,1,0,1,7,13,8,175.26,177.8,170,37,33,0,0,0,2
Leon Edwards,Vicente Luque,185.5625,8,0,0,1,4,4,1,180.34,190.5,170,812.625,16,0,0,1,2,4,2,187.96,187.96,170,25,25,1,0,-1,2
Gunnar Nelson,Alan Jouban,742.1953125,16,0,1,0,3,6,2,182.88,185.42,170,619.390625,18,0,4,0,4,6,2,180.34,182.88,170,35,28,2,1,-1,2
Alex Oliveira,Tim Means,325.0307617,29,0,2,0,4,8,5,187.96,190.5,170,473.4765625,18,0,0,1,3,5,3,180.34,193.04,170,33,29,0,0,0,2
Tyron Woodley,Stephen Thompson,1208.587891,25,1,1,0,7,8,2,182.88,190.5,170,939.828125,20,2,1,0,3,6,3,175.26,187.96,170,34,34,0,0,0,2
Nordine Taleb,Santiago Ponzinibbio,620.75,14,0,0,1,3,5,2,182.88,185.42,170,559.75,13,0,3,0,3,4,1,185.42,187.96,170,30,35,0,0,0,0
Randy Brown,Belal Muhammad,479.25,7,0,0,1,1,1,2,180.34,182.88,170,515.875,10,0,1,0,2,3,1,190.5,198.12,170,28,26,0,0,0,0
Ryan LaFlare,Roan Carneiro,592.7265625,17,0,1,0,1,4,4,180.34,193.04,170,1050,20,0,4,0,4,5,1,185.42,187.96,170,38,33,1,0,-1,2
Alex Morono,Niko Price,270,1,0,1,0,1,1,0,182.88,193.04,170,900,6,0,2,0,2,2,0,180.34,182.88,170,27,26,0,0,0,1
Donald Cerrone,Jorge Masvidal,589.9155273,33,0,2,0,3,8,4,180.34,187.96,170,550.7479148,48,1,4,0,8,19,4,185.42,185.42,155,32,33,0,0,0,0
Court McGee,Ben Saunders,475.1191406,22,0,3,0,3,7,4,187.96,195.58,170,738.1660156,30,1,3,0,3,7,4,180.34,190.5,170,33,32,0,0,0,0
Dong Hyun Kim,Tarec Saffiedine,948.5,14,0,1,0,1,2,2,177.8,177.8,170,366.8607483,39,0,2,0,4,12,4,187.96,193.04,170,30,35,1,2,1,2
Johny Hendricks,Neil Magny,561.3318481,40,0,1,0,7,11,4,190.5,203.2,170,788.9278717,46,3,4,0,6,12,5,175.26,175.26,185,29,33,1,0,-1,0
Mike Pyle,Alex Garcia,828.9375,13,0,2,0,2,3,2,175.26,182.88,170,557.2072296,35,0,0,1,4,10,7,182.88,187.96,170,29,41,0,0,0,0
Alex Oliveira,Tim Means,437.0615234,28,0,2,0,4,8,4,187.96,190.5,170,733.953125,17,0,0,1,3,5,2,180.34,193.04,170,32,28,0,0,0,1
Alan Jouban,Mike Perry,549,4,0,2,0,2,2,0,177.8,180.34,170,584.390625,13,0,1,0,2,5,2,182.88,185.42,170,25,35,1,0,-1,2
James Moontasri,Alex Morono,900,3,0,1,0,1,1,0,180.34,182.88,170,622.8125,10,0,0,1,1,2,3,177.8,180.34,170,26,28,2,0,-2,0
Bryan Barberena,Colby Covington,633.75,14,0,3,0,3,5,1,180.34,182.88,170,784.5,11,0,1,0,2,3,1,182.88,182.88,170,28,27,1,0,-1,0
Sage Northcutt,Mickey Gall,89.5,2,0,2,0,2,2,0,187.96,187.96,170,621.25,8,0,2,0,2,3,1,182.88,180.34,170,24,20,0,2,2,0
Bojan Velickovic,Sultan Aliev,162,1,0,0,1,0,0,1,180.34,187.96,170,900,6,0,1,0,1,1,1,182.88,193.04,170,32,27,1,0,-1,0
Donald Cerrone,Matt Brown,424.5136099,50,0,1,0,7,13,9,182.88,190.5,170,467.4958296,45,1,4,0,8,18,4,185.42,185.42,155,35,33,0,0,0,2
Jake Ellenberger,Jorge Masvidal,934.8310547,32,0,2,0,3,7,4,180.34,187.96,170,378.2949219,36,0,0,1,6,10,7,175.26,180.34,170,32,31,0,0,0,0
Kyle Noke,Omari Akhmedov,684.96875,12,0,1,0,2,3,3,182.88,185.42,185,633.7802734,22,0,3,0,3,6,5,185.42,193.04,170,29,36,1,0,-1,0
Richard Walsh,Jonathan Meunier,654,3,0,0,1,0,0,1,190.5,,170,804.875,13,0,1,0,1,2,3,182.88,185.42,170,29,27,0,2,2,0
Sergio Moraes,Zak Ottow,900,3,0,1,0,1,1,0,180.34,182.88,170,811.875,16,1,0,1,4,4,2,182.88,182.88,170,29,34,0,0,0,2
