R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Warlley Alves,Kamaru Usman,769.75,8,1,3,0,3,3,0,182.88,193.04,170,635.6875,12,1,4,0,4,4,1,180.34,182.88,170,29,25,0,2,2,0
Zak Cummings,Alexander Yakovlev,734.75,13,0,0,2,2,2,3,190.5,187.96,155,753.34375,13,0,2,0,2,4,2,182.88,190.5,185,32,32,1,1,0,2
Tyron Woodley,Stephen Thompson,917.1757813,20,0,1,0,7,8,1,182.88,190.5,170,379.65625,15,1,1,0,3,6,2,175.26,187.96,170,33,34,0,0,0,1
Vicente Luque,Belal Muhammad,879.5,6,0,0,1,1,1,1,180.34,182.88,170,292.125,7,0,0,1,3,3,1,180.34,190.5,170,28,24,0,0,0,2
Erick Montano,Max Griffin,738,3,0,0,1,0,0,1,180.34,193.04,170,759,6,1,1,0,1,1,1,182.88,185.42,170,30,30,0,0,0,0
Leon Edwards,Albert Tumenov,570.34375,14,0,0,1,5,5,2,180.34,185.42,170,844.25,13,0,0,1,2,3,2,187.96,187.96,170,24,25,1,0,-1,2
Danny Roberts,Mike Perry,218,1,0,1,0,1,1,0,177.8,180.34,170,533,4,0,2,0,2,2,0,185.42,187.96,170,25,29,1,0,-1,0
Keita Nakamura,Elizeu Zaleski dos Santos,841.5,6,0,0,1,1,1,1,180.34,185.42,170,729.125,17,0,0,3,1,2,4,180.34,185.42,170,29,32,1,0,-1,0
Erick Silva,Luan Chagas,900,3,0,0,1,0,0,1,182.88,190.5,170,489.0620117,20,0,1,0,2,6,6,182.88,187.96,170,23,32,0,0,0,2
Vicente Luque,Hector Urbina,559,4,0,1,0,1,1,1,180.34,185.42,170,524.25,6,0,0,1,2,2,1,180.34,190.5,170,29,24,0,0,0,2
Roan Carneiro,Kenny Robertson,650.0546875,17,0,0,2,3,4,4,177.8,187.96,170,285.453125,14,0,1,0,1,3,4,180.34,193.04,170,32,38,0,0,0,2
Augusto Montano,Belal Muhammad,900,3,0,0,1,0,0,1,180.34,182.88,170,595,4,0,1,0,1,1,1,185.42,185.42,170,28,31,0,0,0,0
Erick Montano,Randy Brown,675.5,5,0,1,0,1,1,1,190.5,198.12,170,900,3,1,1,0,1,1,0,182.88,185.42,170,26,30,0,0,0,0
Yancy Medeiros,Sean Spencer,879.890625,21,0,0,1,2,3,4,177.8,187.96,170,730.5859375,13,0,0,3,2,3,5,177.8,190.5,155,29,29,0,0,0,2
Peter Sobotta,Nicolas Dalby,900,9,0,1,0,1,1,2,180.34,187.96,170,329.75,14,0,0,3,2,2,4,182.88,190.5,170,31,29,1,0,-1,2
Demian Maia,Carlos Condit,1078.374023,37,3,0,1,5,7,5,187.96,190.5,170,871.8929527,61,1,5,0,5,17,6,185.42,182.88,170,32,38,1,0,-1,2
Rick Story,Donald Cerrone,512.9916592,43,1,4,0,8,17,4,185.42,185.42,155,982.9482803,49,0,0,1,6,12,6,175.26,180.34,170,33,31,1,0,-1,0
Nate Diaz,Conor McGregor,394.4453125,13,2,7,0,7,7,1,175.26,187.96,155,673.1515694,52,2,5,0,5,14,8,182.88,193.04,170,28,31,1,1,0,0
Neil Magny,Lorenz Larkin,790.171875,22,0,0,1,2,4,5,180.34,182.88,170,874.6636963,39,0,1,0,7,11,3,190.5,203.2,170,29,29,0,0,0,0
Court McGee,Dominique Steele,617.5,7,0,0,1,1,1,2,177.8,187.96,170,576.3320313,27,1,3,0,3,6,4,180.34,190.5,170,28,31,0,0,0,2
Santiago Ponzinibbio,Zak Cummings,606.6875,10,0,2,0,2,4,1,182.88,190.5,185,341.5,11,0,0,1,2,4,2,182.88,185.42,170,32,29,0,1,1,2
Matt Brown,Jake Ellenberger,650.5898438,35,0,0,1,6,9,7,175.26,180.34,170,743.0272198,49,0,1,0,7,13,8,182.88,190.5,170,31,35,0,0,0,0
Ross Pearson,Jorge Masvidal,969.6621094,29,0,2,0,3,6,4,180.34,187.96,170,885.1338234,51,1,3,0,3,11,9,172.72,175.26,155,31,31,0,0,0,0
Robbie Lawler,Tyron Woodley,627.3125,14,0,1,0,2,5,2,175.26,187.96,170,1403.656647,48,4,3,0,5,12,4,180.34,187.96,170,34,34,1,0,-1,0
Michael Graves,Bojan Velickovic,900,3,0,1,0,1,1,0,182.88,193.04,170,675.5,5,0,2,0,2,2,0,177.8,180.34,170,27,25,0,1,1,1
Kamaru Usman,Alexander Yakovlev,569.5,10,0,0,2,2,2,2,190.5,187.96,155,639.5,5,1,2,0,2,2,0,182.88,193.04,170,32,29,2,1,-1,2
Alex Oliveira,James Moontasri,345.625,7,0,0,1,1,2,2,177.8,180.34,170,415.8125,11,0,0,1,3,3,2,180.34,193.04,170,28,28,0,2,2,2
Kyle Noke,Keita Nakamura,859.25,15,0,0,3,1,1,4,180.34,185.42,170,668.5605469,20,0,3,0,3,6,4,185.42,193.04,170,32,36,1,1,0,0
Johny Hendricks,Kelvin Gastelum,1080.734375,21,1,5,0,5,6,2,175.26,180.34,185,677.8557434,43,3,4,0,6,12,4,175.26,175.26,185,24,32,1,1,0,0
Li Jingliang,Anton Zafir,276,1,0,0,1,0,0,1,180.34,,170,614.75,10,0,1,0,1,2,2,182.88,180.34,170,29,28,0,0,0,2
Mike Pyle,Alberto Mina,578.5,4,0,2,0,2,2,0,182.88,195.58,170,737.4144592,33,0,0,1,4,10,6,182.88,187.96,170,34,40,0,0,0,0
Vicente Luque,Alvaro Herrera Mendoza,30,1,0,1,0,1,1,0,182.88,187.96,155,516.5,4,0,0,1,1,1,1,180.34,190.5,170,26,24,0,0,0,2
Rory MacDonald,Stephen Thompson,334.3515625,15,0,1,0,6,7,1,182.88,190.5,170,1023.589844,33,1,1,0,5,9,3,182.88,193.04,170,33,26,0,0,0,0
Donald Cerrone,Patrick Cote,576.4805565,47,2,0,4,4,10,9,180.34,190.5,170,270.9833183,40,1,4,0,8,16,4,185.42,185.42,155,36,33,0,0,0,2
Sean Strickland,Tom Breese,593.75,5,0,3,0,3,3,0,190.5,185.42,185,843.3125,13,0,2,0,2,4,1,185.42,193.04,185,24,25,0,1,1,2
Jorge Masvidal,Lorenz Larkin,680.34375,19,0,0,1,2,3,5,180.34,182.88,170,1039.324219,26,0,2,0,3,6,3,180.34,187.96,170,29,31,0,0,0,0
Tarec Saffiedine,Rick Story,1065.896561,46,0,0,1,6,11,6,175.26,180.34,170,997,11,0,1,0,1,2,1,177.8,177.8,170,31,29,2,1,-1,0
Demian Maia,Matt Brown,615.0544395,46,0,1,0,7,13,7,182.88,190.5,170,872.7859054,58,1,5,0,5,16,6,185.42,182.88,170,35,38,1,0,-1,2
Warlley Alves,Bryan Barberena,669,8,0,1,0,1,2,1,182.88,182.88,170,371.375,9,1,4,0,4,4,0,180.34,182.88,170,27,25,0,1,1,0
Albert Tumenov,Gunnar Nelson,743.78125,16,0,4,0,4,5,2,180.34,182.88,170,645.6875,12,0,0,1,5,5,1,180.34,185.42,170,27,24,0,2,2,0
Leon Edwards,Dominic Waters,545.5,4,0,0,2,0,0,2,185.42,200.66,170,788.5,10,0,0,1,2,2,2,187.96,187.96,170,27,24,1,0,-1,2
Danny Roberts,Dominique Steele,335,4,0,0,1,1,1,1,177.8,187.96,170,166,1,0,1,0,1,1,0,185.42,187.96,170,28,28,1,0,-1,2
Court McGee,Santiago Ponzinibbio,428,10,0,0,1,2,3,2,182.88,185.42,170,897.6640625,26,1,3,0,3,6,3,180.34,190.5,170,29,31,0,0,0,0
Randy Brown,Michael Graves,900,3,0,1,0,1,1,0,177.8,180.34,170,900,3,0,1,0,1,1,0,190.5,198.12,170,25,25,0,0,0,0
Elizeu Zaleski dos Santos,Omari Akhmedov,586.9375,9,0,1,0,2,3,2,182.88,185.42,185,900,3,0,0,1,0,0,1,180.34,185.42,170,28,29,0,0,0,2
Nicolas Dalby,Zak Cummings,313.375,7,0,2,0,2,3,1,182.88,190.5,185,900,6,0,1,0,1,1,1,180.34,187.96,170,31,31,0,1,1,0
Hector Lombard,Neil Magny,1103.327393,36,0,1,0,7,10,3,190.5,203.2,170,779.6875,14,0,0,1,2,3,3,175.26,180.34,185,28,38,1,0,-1,0
Brendan O'Reilly,Alan Jouban,402.5625,9,0,1,0,2,3,2,182.88,185.42,170,900,6,0,0,1,1,1,1,170.18,175.26,170,34,28,0,1,1,0
Richard Walsh,Viscardi Andrade,699,7,0,1,0,1,2,1,180.34,190.5,170,709.75,10,0,1,0,1,2,2,182.88,185.42,170,32,27,0,0,0,0
Brandon Thatch,Siyar Bahadurzada,685.5,7,0,1,0,1,1,2,180.34,185.42,170,398.125,7,0,2,0,2,2,2,187.96,187.96,170,31,30,2,0,-2,0
Conor McGregor,Nate Diaz,794.3031387,50,2,5,0,5,13,8,182.88,193.04,170,236.890625,11,2,7,0,7,7,0,175.26,187.96,155,30,27,1,1,0,0
Erick Silva,Nordine Taleb,725.5,11,0,3,0,3,3,1,185.42,187.96,170,584.1240234,18,0,1,0,2,6,5,182.88,187.96,170,34,31,0,0,0,0
Tom Breese,Keita Nakamura,818.5,12,0,0,3,1,1,3,180.34,185.42,170,287.5,2,0,2,0,2,2,0,190.5,185.42,185,31,24,1,1,0,2
Donald Cerrone,Alex Oliveira,678.625,10,0,0,1,3,3,1,180.34,193.04,170,388.9666367,39,1,4,0,8,15,4,185.42,185.42,155,28,32,0,0,0,2
Alex Garcia,Sean Strickland,821.625,10,0,2,0,2,3,1,185.42,193.04,185,792.875,10,0,2,0,2,3,1,175.26,182.88,170,24,28,0,0,0,0
Jonavin Webb,Nathan Coy,166,1,0,0,1,0,0,1,177.8,175.26,170,900,3,0,0,1,0,0,1,177.8,,170,37,26,0,1,1,0
Johny Hendricks,Stephen Thompson,457.703125,14,0,1,0,5,6,1,182.88,190.5,170,1144.711487,42,3,4,0,6,12,3,175.26,175.26,185,32,32,1,0,-1,0
Mike Pyle,Sean Spencer,894.78125,18,0,0,1,2,3,3,177.8,187.96,170,609.8289185,30,0,0,1,4,9,6,182.88,187.96,170,28,40,0,0,0,2
Sage Northcutt,Bryan Barberena,852,6,0,1,0,1,1,1,182.88,182.88,170,199,3,0,2,0,2,2,0,182.88,180.34,170,26,19,0,1,1,0
Tarec Saffiedine,Jake Ellenberger,401.1796875,32,0,0,1,6,9,6,175.26,180.34,170,1094,8,0,1,0,1,1,1,177.8,177.8,170,30,29,2,0,-2,2
George Sullivan,Alexander Yakovlev,900,9,0,0,2,1,1,2,190.5,187.96,155,824.125,11,0,2,0,2,3,1,182.88,185.42,170,31,34,0,1,1,0
Patrick Cote,Ben Saunders,576.2382813,20,0,3,0,3,7,3,187.96,195.58,170,778.961113,45,2,0,4,4,9,9,180.34,190.5,170,32,35,0,0,0,2
Lorenz Larkin,Albert Tumenov,391.375,9,0,0,1,4,4,1,180.34,185.42,170,460.6875,16,0,0,1,2,3,4,180.34,182.88,170,24,29,0,0,0,0
Robbie Lawler,Carlos Condit,656.7480469,32,2,0,1,5,7,4,187.96,190.5,170,1307.313293,43,3,3,0,4,11,4,180.34,187.96,170,31,33,1,0,-1,2
Sheldon Westcott,Edgar Garcia,394.75,5,0,0,3,0,0,3,177.8,180.34,170,740.5,5,1,0,2,0,0,2,185.42,180.34,170,31,31,1,0,-1,2
Kamaru Usman,Leon Edwards,677,7,0,0,1,2,2,1,187.96,187.96,170,379,2,1,1,0,1,1,0,182.88,193.04,170,24,28,2,1,-1,2
Hayder Hassan,Vicente Luque,900,3,0,0,1,0,0,1,180.34,190.5,170,379,2,1,0,1,0,0,1,177.8,,170,24,33,3,0,-3,0
Warlley Alves,Colby Covington,724,7,0,3,0,3,3,0,180.34,182.88,170,656.75,8,1,3,0,3,3,0,180.34,182.88,170,27,24,0,0,0,2
Demian Maia,Gunnar Nelson,587.5625,13,0,4,0,4,5,1,180.34,182.88,170,845.5718107,55,1,5,0,5,15,6,185.42,182.88,170,27,38,1,2,1,2
Court McGee,Marcio Alexandre Junior,762.5,6,1,0,2,0,0,2,182.88,190.5,185,895.328125,23,1,3,0,3,5,3,180.34,190.5,170,26,30,0,1,1,2
Ryan LaFlare,Mike Pierce,322.3408203,34,0,1,0,4,9,4,172.72,180.34,170,1200,17,0,4,0,4,4,1,185.42,187.96,170,35,32,1,0,-1,2
Omari Akhmedov,Sergio Moraes,709.5,10,1,0,1,3,3,1,182.88,182.88,170,435.875,6,0,1,0,2,3,1,182.88,185.42,185,33,28,0,0,0,0
Tim Means,John Howard,708.1762695,35,0,4,0,4,7,6,170.18,182.88,170,475.2460938,24,0,2,0,4,6,4,187.96,190.5,170,32,31,0,0,0,2
Santiago Ponzinibbio,Andreas Stahl,900,3,0,0,1,0,0,1,180.34,,170,591,9,0,0,1,2,2,2,182.88,185.42,170,27,29,0,0,0,2
Dong Hyun Kim,Dominic Waters,900,3,0,0,1,0,0,1,185.42,200.66,170,542.7214966,38,0,2,0,4,11,4,187.96,193.04,170,26,34,1,0,-1,2
Yoshihiro Akiyama,Alberto Mina,257,1,0,1,0,1,1,0,182.88,195.58,170,800.875,16,0,1,0,1,2,4,177.8,190.5,170,33,40,0,0,0,0
Benson Henderson,Jorge Masvidal,578.6484375,21,0,2,0,3,6,2,180.34,187.96,170,947.9921875,47,5,7,0,7,10,3,175.26,177.8,170,31,32,1,0,-1,2
Neil Magny,Kelvin Gastelum,661.46875,16,1,5,0,5,6,1,175.26,180.34,185,706.6547852,31,0,1,0,7,9,3,190.5,203.2,170,24,28,0,1,1,2
Hector Urbina,Bartosz Fabinski,900,3,0,1,0,1,1,0,182.88,190.5,170,218,1,0,1,0,1,1,0,180.34,185.42,170,29,28,0,0,0,0
Kyle Noke,Peter Sobotta,538.5,13,0,0,3,2,2,3,182.88,190.5,170,753.2421875,16,0,3,0,3,5,3,185.42,193.04,170,28,35,1,1,0,2
Richard Walsh,Steve Kennedy,177,1,0,0,1,0,0,1,180.34,,170,519.5,7,0,1,0,1,1,2,182.88,185.42,170,32,26,0,0,0,2
Viscardi Andrade,Gasan Umalatov,900,9,0,0,1,1,1,2,180.34,180.34,170,498,4,0,1,0,1,1,1,180.34,190.5,170,33,31,0,0,0,2
Nicolas Dalby,Darren Till,397,2,0,1,0,1,1,0,182.88,187.96,185,900,3,0,1,0,1,1,0,180.34,187.96,170,22,30,0,1,1,1
Cathal Pendred,Tom Breese,298,1,0,1,0,1,1,0,190.5,185.42,185,875.8125,14,0,4,0,4,4,1,185.42,190.5,170,24,28,0,1,1,0
Alan Jouban,Albert Tumenov,607.75,8,0,0,1,3,3,1,180.34,185.42,170,630.125,8,0,1,0,2,3,1,182.88,185.42,170,23,33,1,0,-1,0
Keita Nakamura,Li Jingliang,492.5,7,0,1,0,1,2,1,182.88,180.34,170,900,9,0,0,3,0,0,3,180.34,185.42,170,27,31,1,0,-1,2
Neil Magny,Erick Silva,268.2480469,15,0,1,0,2,6,4,182.88,187.96,170,513.3095703,28,0,1,0,7,8,3,190.5,203.2,170,31,28,0,0,0,2
Patrick Cote,Joshua Burkman,795.7431641,30,0,2,0,2,5,7,177.8,182.88,170,871.922226,42,2,0,4,4,8,9,180.34,190.5,170,35,35,0,0,0,2
Demian Maia,Neil Magny,554.6191406,26,0,1,0,7,8,2,190.5,203.2,170,1219.143621,53,1,5,0,5,14,6,185.42,182.88,170,27,37,1,0,-1,2
Warlley Alves,Nordine Taleb,900,9,0,3,0,3,3,0,185.42,187.96,170,762.5,6,1,2,0,2,2,0,180.34,182.88,170,34,24,0,0,0,2
Kenny Robertson,Ben Saunders,252.4765625,17,0,3,0,3,6,3,187.96,195.58,170,400.109375,14,0,0,2,3,4,3,177.8,187.96,170,32,31,0,0,0,0
Leon Edwards,Pawel Pawlak,900,6,0,0,1,1,1,1,182.88,185.42,170,454,4,0,0,1,1,1,1,187.96,187.96,170,26,23,1,0,-1,2
Alan Jouban,Matt Dwyer,128.5,2,0,0,1,1,1,1,193.04,193.04,170,360.25,5,0,1,0,1,2,1,182.88,185.42,170,25,33,1,0,-1,2
Igor Araujo,Sean Strickland,743.25,7,0,2,0,2,2,1,185.42,193.04,185,675.5,8,0,2,0,2,2,1,185.42,195.58,170,24,34,0,0,0,0
Jorge Masvidal,Cezar Ferreira,422.71875,12,1,3,0,3,4,2,185.42,198.12,185,895.296875,20,0,2,0,3,5,2,180.34,187.96,170,30,30,0,1,1,2
Jake Ellenberger,Stephen Thompson,646.40625,13,0,1,0,4,5,1,182.88,190.5,170,533.359375,31,0,0,1,6,9,5,175.26,180.34,170,32,30,0,0,0,0
Matt Brown,Tim Means,666.4921875,23,0,2,0,4,6,3,187.96,190.5,170,946.1088791,45,0,1,0,7,12,7,182.88,190.5,170,31,34,0,0,0,2
Gunnar Nelson,Brandon Thatch,622.25,6,0,2,0,2,2,1,187.96,187.96,170,1001.125,12,0,4,0,4,4,1,180.34,182.88,170,29,26,2,2,0,2
Robbie Lawler,Rory MacDonald,787.1796875,28,0,1,0,5,9,2,182.88,193.04,170,1354.626587,38,2,3,0,3,10,4,180.34,187.96,170,25,33,1,0,-1,2
Cathal Pendred,John Howard,516.3525391,32,0,4,0,4,6,6,170.18,182.88,170,851.625,11,0,4,0,4,4,0,185.42,190.5,170,32,27,0,0,0,0
Mike Swick,Alex Garcia,685.75,7,0,2,0,2,2,1,175.26,182.88,170,458.7724609,28,0,5,0,5,10,4,185.42,195.58,170,27,36,0,0,0,0
Santiago Ponzinibbio,Lorenz Larkin,434.375,14,0,0,1,1,2,4,180.34,182.88,170,695,7,0,0,1,2,2,1,182.88,185.42,170,28,28,0,0,0,0
Augusto Montano,Cathal Pendred,803.25,8,0,3,0,3,3,0,185.42,190.5,170,290,1,0,1,0,1,1,0,185.42,185.42,170,27,30,0,0,0,0
Brian Ebersole,Omari Akhmedov,571.75,5,0,1,0,1,2,1,182.88,185.42,185,890.125,19,0,4,0,4,5,2,182.88,185.42,170,27,34,1,0,-1,0
KJ Noons,Alex Oliveira,854,3,0,0,1,0,0,1,180.34,193.04,170,395,9,0,0,1,2,2,2,177.8,177.8,155,27,32,0,0,0,0
Carlos Condit,Thiago Alves,571.8735046,45,1,0,1,7,13,6,175.26,177.8,170,713.4960938,30,2,0,1,5,6,4,187.96,190.5,170,31,31,0,0,0,2
Dong Hyun Kim,Joshua Burkman,858.4863281,27,0,2,0,2,5,6,177.8,182.88,170,352.4429932,35,0,2,0,4,10,4,187.96,193.04,170,35,33,1,0,-1,2
Mike Pyle,Colby Covington,548,4,0,2,0,2,2,0,180.34,182.88,170,319.6578369,27,0,0,1,4,9,5,182.88,187.96,170,27,39,0,0,0,0
Hyun Gyu Lim,Neil Magny,725.2382813,24,0,1,0,6,7,2,190.5,203.2,170,511.25,9,0,2,0,2,3,1,190.5,195.58,170,27,30,0,0,0,0
Li Jingliang,Dhiego Lima,311.25,5,1,0,1,1,1,2,187.96,190.5,170,900,6,0,1,0,1,1,1,182.88,180.34,170,26,27,0,0,0,2
Vik Grujic,Brendan O'Reilly,900,3,0,0,1,0,0,1,170.18,175.26,170,391.75,5,0,0,1,1,1,2,180.34,185.42,170,27,38,0,0,0,0
Patrick Cote,Joe Riggs,115.8789063,13,0,1,0,1,4,5,182.88,177.8,185,843.8444519,39,2,0,4,4,7,9,180.34,190.5,170,32,35,0,1,1,2
Nordine Taleb,Chris Clements,392.5,9,0,1,0,1,2,2,177.8,177.8,170,900,6,0,2,0,2,2,0,185.42,187.96,170,39,33,0,0,0,2
George Sullivan,Tim Means,511.984375,20,0,2,0,3,5,3,187.96,190.5,170,675.5,5,0,2,0,2,2,0,182.88,185.42,170,31,34,0,0,0,0
Pawel Pawlak,Sheldon Westcott,581,2,1,0,1,0,0,1,185.42,180.34,170,900,3,0,0,1,0,0,1,182.88,185.42,170,30,26,0,1,1,2
Seth Baczynski,Leon Edwards,900,3,0,0,1,0,0,1,187.96,187.96,170,530.5703125,22,0,0,1,4,5,5,190.5,190.5,170,23,33,0,1,1,0
Demian Maia,Ryan LaFlare,900,12,0,4,0,4,4,0,185.42,187.96,170,938.2872429,48,1,5,0,5,13,6,185.42,182.88,170,31,37,1,1,0,2
Erick Silva,Josh Koscheck,484.9729846,51,1,2,0,5,15,9,177.8,185.42,170,275.4960938,14,0,1,0,1,5,4,182.88,187.96,170,37,30,0,0,0,2
Johny Hendricks,Matt Brown,992.2177582,42,0,1,0,7,12,6,182.88,190.5,170,1389.422974,39,3,4,0,6,11,3,175.26,175.26,185,34,31,1,0,-1,2
Jake Ellenberger,Josh Koscheck,409.9459691,49,1,2,0,5,15,8,177.8,185.42,170,506.71875,29,0,0,1,6,8,5,175.26,180.34,170,37,29,0,0,0,2
Dhiego Lima,Tim Means,886.96875,19,0,2,0,2,4,3,187.96,190.5,170,485.5,4,1,0,1,1,1,1,187.96,190.5,170,31,26,0,0,0,0
Alan Jouban,Richard Walsh,900,6,0,1,0,1,1,1,182.88,185.42,170,581.5,4,0,1,0,1,1,1,182.88,185.42,170,26,33,1,0,-1,2
Santiago Ponzinibbio,Sean Strickland,586.5,4,0,2,0,2,2,0,185.42,193.04,185,490,4,0,0,1,1,1,1,182.88,185.42,170,23,28,0,0,0,2
William Macario,Matt Dwyer,63,1,0,0,1,0,0,1,193.04,193.04,170,750.75,8,1,0,1,1,1,2,180.34,190.5,170,25,23,0,0,0,0
Benson Henderson,Brandon Thatch,106.5,2,0,2,0,2,2,0,187.96,187.96,170,757.984375,43,5,7,0,7,9,3,175.26,177.8,170,29,31,1,2,1,2
Neil Magny,Kiichi Kunimoto,537.25,5,0,3,0,3,3,0,177.8,180.34,170,768.4765625,21,0,1,0,5,6,2,190.5,203.2,170,33,27,0,0,0,2
Jordan Mein,Thiago Alves,804.7470093,43,1,0,1,7,12,6,175.26,177.8,170,341.25,7,0,1,0,2,3,1,182.88,185.42,170,31,25,0,0,0,0
Tyron Woodley,Kelvin Gastelum,545.875,11,1,5,0,5,5,0,175.26,180.34,185,354.625,11,0,1,0,2,4,2,175.26,187.96,170,23,32,0,1,1,2
Nicholas Musoke,Albert Tumenov,315.5,5,0,0,1,2,2,1,180.34,185.42,170,810.875,10,0,2,0,2,3,1,182.88,190.5,170,23,28,0,0,0,0
John Howard,Lorenz Larkin,731.75,13,0,0,1,1,1,4,180.34,182.88,170,895.7050781,31,0,4,0,4,6,5,170.18,182.88,170,28,31,0,0,0,0
Cathal Pendred,Sean Spencer,889.5625,15,0,0,1,2,3,2,177.8,187.96,170,706.5,5,0,2,0,2,2,0,185.42,190.5,170,27,27,0,0,0,2
Hector Lombard,Joshua Burkman,816.9726563,24,0,2,0,2,5,5,177.8,182.88,170,659.375,11,0,0,1,2,3,2,175.26,180.34,185,34,36,1,0,-1,1
